,Date,Warehouse,Product_Code,Product_Category,Order_Demand
0,2018-01-01,Whse_J,Product_1,Category_028,(13)
1,2018-01-02,Whse_J,Product_1,Category_028,(11)
2,2018-01-03,Whse_J,Product_1,Category_028,(14)
3,2018-01-04,Whse_J,Product_1,Category_028,(13)
4,2018-01-05,Whse_J,Product_1,Category_028,(10)
5,2018-01-06,Whse_J,Product_1,Category_028,(12)
6,2018-01-07,Whse_J,Product_1,Category_028,(10)
7,2018-01-08,Whse_J,Product_1,Category_028,(9)
8,2018-01-09,Whse_J,Product_1,Category_028,(12)
9,2018-01-10,Whse_J,Product_1,Category_028,(9)
10,2018-01-11,Whse_J,Product_1,Category_028,(9)
11,2018-01-12,Whse_J,Product_1,Category_028,(7)
12,2018-01-13,Whse_J,Product_1,Category_028,(10)
13,2018-01-14,Whse_J,Product_1,Category_028,(12)
14,2018-01-15,Whse_J,Product_1,Category_028,(5)
15,2018-01-16,Whse_J,Product_1,Category_028,(7)
16,2018-01-17,Whse_J,Product_1,Category_006,(16)
17,2018-01-18,Whse_J,Product_1,Category_006,(7)
18,2018-01-19,Whse_J,Product_1,Category_006,(18)
19,2018-01-20,Whse_J,Product_1,Category_006,(15)
20,2018-01-21,Whse_J,Product_1,Category_006,(8)
21,2018-01-22,Whse_J,Product_1,Category_006,(7)
22,2018-01-23,Whse_J,Product_1,Category_006,(9)
23,2018-01-24,Whse_J,Product_1,Category_006,(8)
24,2018-01-25,Whse_J,Product_1,Category_006,(14)
25,2018-01-26,Whse_J,Product_1,Category_006,(12)
26,2018-01-27,Whse_J,Product_1,Category_006,(12)
27,2018-01-28,Whse_J,Product_1,Category_006,(11)
28,2018-01-29,Whse_J,Product_1,Category_006,(6)
29,2018-01-30,Whse_J,Product_1,Category_006,(9)
30,2018-01-31,Whse_J,Product_1,Category_006,(13)
31,2018-02-01,Whse_J,Product_1,Category_006,(11)
32,2018-02-02,Whse_J,Product_1,Category_006,(21)
33,2018-02-03,Whse_J,Product_1,Category_006,(15)
34,2018-02-04,Whse_J,Product_1,Category_006,(14)
35,2018-02-05,Whse_J,Product_1,Category_006,(9)
36,2018-02-06,Whse_J,Product_1,Category_006,(10)
37,2018-02-07,Whse_J,Product_1,Category_006,(13)
38,2018-02-08,Whse_J,Product_1,Category_006,(11)
39,2018-02-09,Whse_J,Product_1,Category_006,(14)
40,2018-02-10,Whse_J,Product_1,Category_006,(11)
41,2018-02-11,Whse_J,Product_1,Category_006,(16)
42,2018-02-12,Whse_J,Product_1,Category_006,(11)
43,2018-02-13,Whse_J,Product_1,Category_006,(14)
44,2018-02-14,Whse_J,Product_1,Category_006,(10)
45,2018-02-15,Whse_J,Product_1,Category_006,(11)
46,2018-02-16,Whse_J,Product_1,Category_006,(7)
47,2018-02-17,Whse_J,Product_1,Category_001,(11)
48,2018-02-18,Whse_J,Product_1,Category_001,(10)
49,2018-02-19,Whse_J,Product_1,Category_001,(10)
50,2018-02-20,Whse_J,Product_1,Category_006,(7)
51,2018-02-21,Whse_J,Product_1,Category_006,(13)
52,2018-02-22,Whse_J,Product_1,Category_006,(12)
53,2018-02-23,Whse_J,Product_1,Category_006,(15)
54,2018-02-24,Whse_J,Product_1,Category_006,(11)
55,2018-02-25,Whse_J,Product_1,Category_006,(7)
56,2018-02-26,Whse_J,Product_1,Category_006,(9)
57,2018-02-27,Whse_J,Product_1,Category_006,(9)
58,2018-02-28,Whse_J,Product_1,Category_006,(10)
59,2018-03-01,Whse_J,Product_1,Category_006,(15)
60,2018-03-02,Whse_J,Product_1,Category_006,(13)
61,2018-03-03,Whse_J,Product_1,Category_006,(20)
62,2018-03-04,Whse_J,Product_1,Category_006,(14)
63,2018-03-05,Whse_J,Product_1,Category_019,(13)
64,2018-03-06,Whse_J,Product_1,Category_019,(17)
65,2018-03-07,Whse_J,Product_1,Category_019,(11)
66,2018-03-08,Whse_J,Product_1,Category_019,(15)
67,2018-03-09,Whse_J,Product_1,Category_019,(16)
68,2018-03-10,Whse_J,Product_1,Category_019,(11)
69,2018-03-11,Whse_J,Product_1,Category_019,(18)
70,2018-03-12,Whse_J,Product_1,Category_019,(14)
71,2018-03-13,Whse_J,Product_1,Category_019,(13)
72,2018-03-14,Whse_J,Product_1,Category_019,(10)
73,2018-03-15,Whse_J,Product_1,Category_019,(14)
74,2018-03-16,Whse_J,Product_1,Category_019,(10)
75,2018-03-17,Whse_J,Product_1,Category_019,(22)
76,2018-03-18,Whse_J,Product_1,Category_019,(11)
77,2018-03-19,Whse_J,Product_1,Category_019,(19)
78,2018-03-20,Whse_J,Product_1,Category_019,(14)
79,2018-03-21,Whse_J,Product_1,Category_019,(17)
80,2018-03-22,Whse_J,Product_1,Category_019,(21)
81,2018-03-23,Whse_J,Product_1,Category_019,(21)
82,2018-03-24,Whse_J,Product_1,Category_019,(19)
83,2018-03-25,Whse_J,Product_1,Category_019,(13)
84,2018-03-26,Whse_J,Product_1,Category_019,(16)
85,2018-03-27,Whse_J,Product_1,Category_019,(11)
86,2018-03-28,Whse_J,Product_1,Category_019,(13)
87,2018-03-29,Whse_J,Product_1,Category_019,(17)
88,2018-03-30,Whse_J,Product_1,Category_019,(19)
89,2018-03-31,Whse_J,Product_1,Category_019,(20)
90,2018-04-01,Whse_J,Product_1,Category_019,(11)
91,2018-04-02,Whse_J,Product_1,Category_019,(19)
92,2018-04-03,Whse_J,Product_1,Category_019,(24)
93,2018-04-04,Whse_J,Product_1,Category_019,(18)
94,2018-04-05,Whse_J,Product_1,Category_019,(19)
95,2018-04-06,Whse_J,Product_1,Category_019,(23)
96,2018-04-07,Whse_J,Product_1,Category_019,(17)
97,2018-04-08,Whse_J,Product_1,Category_019,(19)
98,2018-04-09,Whse_J,Product_1,Category_019,(13)
99,2018-04-10,Whse_J,Product_1,Category_019,(19)
100,2018-04-11,Whse_J,Product_1,Category_019,(16)
101,2018-04-12,Whse_J,Product_1,Category_019,(18)
102,2018-04-13,Whse_J,Product_1,Category_019,(17)
103,2018-04-14,Whse_J,Product_1,Category_019,(26)
104,2018-04-15,Whse_J,Product_1,Category_019,(14)
105,2018-04-16,Whse_J,Product_1,Category_019,(9)
106,2018-04-17,Whse_J,Product_1,Category_019,(17)
107,2018-04-18,Whse_J,Product_1,Category_019,(21)
108,2018-04-19,Whse_J,Product_1,Category_019,(22)
109,2018-04-20,Whse_J,Product_1,Category_019,(22)
110,2018-04-21,Whse_J,Product_1,Category_019,(20)
111,2018-04-22,Whse_J,Product_1,Category_019,(13)
112,2018-04-23,Whse_J,Product_1,Category_019,(11)
113,2018-04-24,Whse_J,Product_1,Category_019,(13)
114,2018-04-25,Whse_J,Product_1,Category_019,(14)
115,2018-04-26,Whse_J,Product_1,Category_019,(20)
116,2018-04-27,Whse_J,Product_1,Category_019,(22)
117,2018-04-28,Whse_J,Product_1,Category_019,(19)
118,2018-04-29,Whse_J,Product_1,Category_019,(11)
119,2018-04-30,Whse_J,Product_1,Category_019,(15)
120,2018-05-01,Whse_J,Product_1,Category_019,(16)
121,2018-05-02,Whse_J,Product_1,Category_019,(23)
122,2018-05-03,Whse_J,Product_1,Category_019,(22)
123,2018-05-04,Whse_J,Product_1,Category_019,(20)
124,2018-05-05,Whse_J,Product_1,Category_019,(14)
125,2018-05-06,Whse_J,Product_1,Category_019,(14)
126,2018-05-07,Whse_J,Product_1,Category_005,(15)
127,2018-05-08,Whse_J,Product_1,Category_005,(14)
128,2018-05-09,Whse_J,Product_1,Category_005,(11)
129,2018-05-10,Whse_J,Product_1,Category_005,(16)
130,2018-05-11,Whse_J,Product_1,Category_005,(19)
131,2018-05-12,Whse_J,Product_1,Category_005,(13)
132,2018-05-13,Whse_J,Product_1,Category_005,(9)
133,2018-05-14,Whse_J,Product_1,Category_005,(13)
134,2018-05-15,Whse_J,Product_1,Category_005,(16)
135,2018-05-16,Whse_J,Product_1,Category_005,(15)
136,2018-05-17,Whse_J,Product_1,Category_005,(16)
137,2018-05-18,Whse_J,Product_1,Category_005,(20)
138,2018-05-19,Whse_J,Product_1,Category_005,(19)
139,2018-05-20,Whse_J,Product_1,Category_005,(14)
140,2018-05-21,Whse_J,Product_1,Category_005,(24)
141,2018-05-22,Whse_J,Product_1,Category_005,(23)
142,2018-05-23,Whse_J,Product_1,Category_005,(14)
143,2018-05-24,Whse_J,Product_1,Category_005,(24)
144,2018-05-25,Whse_J,Product_1,Category_005,(25)
145,2018-05-26,Whse_J,Product_1,Category_005,(27)
146,2018-05-27,Whse_J,Product_1,Category_005,(7)
147,2018-05-28,Whse_J,Product_1,Category_005,(12)
148,2018-05-29,Whse_J,Product_1,Category_005,(10)
149,2018-05-30,Whse_J,Product_1,Category_005,(19)
150,2018-05-31,Whse_J,Product_1,Category_005,(27)
151,2018-06-01,Whse_J,Product_1,Category_005,(26)
152,2018-06-02,Whse_J,Product_1,Category_005,(22)
153,2018-06-03,Whse_J,Product_1,Category_005,(12)
154,2018-06-04,Whse_J,Product_1,Category_005,(15)
155,2018-06-05,Whse_J,Product_1,Category_005,(24)
156,2018-06-06,Whse_J,Product_1,Category_019,(9)
157,2018-06-07,Whse_J,Product_1,Category_019,(21)
